file,v2,v3,v4,v5,v7,v8,v9,v10,age,gender,hhi,ethnicity,hispanic,political_party,region,zip,device_type,education,consent,q98,intro,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt_seen,pk_inst,pk_1,pk_1_1,pk_1_2,pk_1_3,pk_1_4,pk_2,pk_2_rt_1,pk_2_rt_2,pk_2_rt_3,pk_2_rt_4,pk_3,pk_3_rt_1,pk_3_rt_2,pk_3_rt_3,pk_3_rt_4,pk_4,pk_4_rt_1,pk_4_rt_2,pk_4_rt_3,pk_4_rt_4,pk_5,pk_5_rt_1,pk_5_rt_2,pk_5_rt_3,pk_5_rt_4,v66,v67,gender_text,v69,income,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_6_text,climate_risk_1,political_position,political_position_text,political_preference,social_conserv,econ_conserv,_vote,_vote_1,imp_accurate,imp_surprising,imp_intersting,imp_politics,imp_funny,time,lucidtime,comment
1,Default Response Set,Anonymous,,,0,1/9/2020 8:41,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,4,50,39,2,7,june,27,1,1,1,4.5,4.5,5.4260001,1,0,7.6490002,9.9879999,10.008,3,0,4.9380002,4.9380002,7.0809999,1,1,3.434,3.434,4.7989998,1,0,3.487,3.487,4.5900002,1,39,1,,5,9,1,,,,,,,9,1,,2,2,4,1,0,5,5,5,5,3,10,10,loved it
1,Default Response Set,Anonymous,,,0,1/9/2020 8:41,1/9/2020 8:52,1,,,,,,,,,,,4,1,1,4,10,20,2,8,June,27,3,1,0,5.211,5.211,5.7989998,1,0,2.4660001,3.987,4.48,3,0,4.0440001,4.0440001,4.6950002,1,1,3.973,3.973,4.6199999,1,0,2.3740001,2.3740001,3.0929999,1,26,2,,5,3,1,,,,,,,7,2,,5,4,4,2,100,3,3,2,2,2,10 min,10,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:53,1,,,,,,,,,,,4,1,1,4,10,39,Second,8,Emily,3,3,1,1,3.1340001,4.5019999,5.5079999,2,0,6.7059999,6.7059999,10.007,1,0,3.859,3.859,7.5479999,1,1,2.655,2.655,3.55,1,1,5.3709998,5.3709998,6.0580001,1,50,2,,5,8,1,,,,,,,8,1,,2,1,2,1,0,3,2,4,2,4,10 minutes,10 minutes,"No, it was interesting"
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,8,50,20,first,7,June,27,3,1,0,5.5549998,5.5549998,7.4359999,1,,0,0,10.008,0,0,6.6659999,6.6659999,8.6590004,1,1,7.579,7.579,9.1820002,1,0,8.2040005,8.2040005,9.1949997,1,67,2,,2,5,1,,,,,,,8,2,,5,5,5,1,92,4,1,3,3,1,15,20,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:54,1,,,,,,,,,,,4,1,1,8,50,20,second,8,June,0,2,1,1,9.0640001,9.0640001,10.006,1,1,0.145,5.9959998,7.362,2,0,9.842,9.842,10.106,1,,0,0,10.006,0,,0,0,10.006,0,87,1,,2,10,1,,,,,,,2,2,,5,4,4,2,100,5,4,4,4,3,7,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:41,1/9/2020 8:47,1,,,,,,,,,,,4,1,1,8,50,20,2nd,8,Emily,9,1,1,0,4.1799998,4.612,5.4879999,2,0,2.6040001,4.684,5.3759999,3,0,4.658,4.658,5.454,1,0,9.0240002,9.0240002,10.06,1,1,3.7850001,3.7850001,5.006,1,30,2,,3,7,1,,,,,,,9,1,,1,1,1,1,0,4,2,4,3,4,10 min,30,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:41,1/9/2020 8:47,1,,,,,,,,,,,4,1,1,8,10,39,1,7,june,27,2,1,1,2.8970001,2.8970001,3.8710001,1,1,3.4030001,3.4030001,4.4050002,1,0,3.704,3.704,4.605,1,1,3.194,3.194,4.2140002,1,1,4.0300002,4.0300002,5.5939999,1,79,1,,2,7,1,,,,,,,6,3,,4,3,3,2,91,4,3,5,3,5,7,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:52,1,,,,,,,,,,,4,1,1,8,50,10,first,8,Emily,27,2,1,1,3.7349999,3.7349999,4.6420002,1,0,3.951,3.951,5.0170002,1,0,6.6290002,6.6290002,7.4359999,1,1,5.118,5.118,6.5809999,1,0,9.6999998,9.6999998,10.11,1,42,2,,5,9,1,,,,,,,8,3,,3,2,3,6,0,5,1,4,4,5,10 minutes,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:46,1,,,,,,,,,,,4,1,1,8,50,40,1,7,june,1,2,1,0,4.3759999,4.3759999,5.119,1,0,3.1240001,3.1240001,4.0819998,1,1,6.671,6.671,7.4530001,1,,0,0,10.11,0,0,1.452,1.452,2.283,1,55,1,,2,10,1,,,,,,,10,1,,3,3,3,1,100,5,5,5,5,5,5,5,no comments
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:46,1,,,,,,,,,,,4,1,1,8,5,80,1,7,june,0,3,1,0,2.2,4.2750001,5.171,2,0,1.027,1.027,1.91,1,0,1.038,1.038,1.858,1,0,1.096,2.1989999,5.6599998,3,0,1.183,1.183,2.122,1,46,2,,3,3,1,,,,,,,9,3,,4,3,3,2,83,4,3,3,3,2,7,10,nope
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 9:07,1,,,,,,,,,,,4,1,1,8,50,20,2nd,8,Emily,27,2,1,0,7.099,7.099,8.2939997,1,1,7.3049998,7.3049998,8.5790005,1,0,5.7820001,5.7820001,6.868,1,1,7.4710002,7.4710002,8.6389999,1,,0,0,10.007,0,63,2,,4,5,1,,,,,,,9,1,,1,1,1,6,0,4,3,4,4,4,7 minutes,I don't remember,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,50,20,first,8,june,9,2,1,1,3.0120001,5.684,6.4840002,2,1,2.4449999,2.4449999,3.556,1,0,4.5419998,4.5419998,5.5900002,1,1,4.855,4.855,5.8189998,1,0,7.0739999,7.0739999,10.122,1,43,1,,5,10,1,,,1,1,,,9,1,,2,3,3,1,0,5,3,4,3,3,8,10,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:49,1,,,,,,,,,,,4,1,1,8,50,20,1,827,June,27,3,1,1,5.5040002,5.5040002,6.9980001,1,1,3.747,3.747,6.3119998,1,0,6.9889998,6.9889998,8.7399998,1,1,5.7459998,5.7459998,7.4190001,1,,0,0,10.121,0,61,2,,3,5,1,,,,,,,10,2,,5,5,5,2,100,5,1,1,1,1,10 minutes,10 minutes,Not at this time.
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:48,1,,,,,,,,,,,4,1,1,8,10,39,1,8,jine27,27,1,1,1,4.1849999,4.1849999,5.546,1,1,2.7839999,2.7839999,4.1440001,1,0,3.5350001,3.5350001,4.9510002,1,1,2.625,2.625,3.9849999,1,0,5.4239998,5.4239998,6.631,1,72,2,,3,8,1,,,,,,,6,1,,3,3,3,1,3,5,1,3,2,2,6 minus,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,50,39,first,8,Emily,3,3,1,1,3.2950001,5.079,6.3860002,2,1,4.2740002,4.2740002,5.5710001,1,0,3.4679999,3.4679999,4.993,1,1,4.1830001,4.1830001,5.8470001,1,,0,0,10.007,0,33,2,,5,7,1,,,,,,,7,3,,4,2,4,3,40,5,1,4,1,4,10 minutes,10 minutes,no comments-thank you
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:54,1,,,,,,,,,,,4,1,1,4,500,39,first,7,june,27,3,1,1,6.1700001,6.1700001,8.8470001,1,1,5.362,5.362,7.717,1,,0,0,10.111,0,1,4.027,4.027,6.8189998,1,,0,0,10.013,0,78,1,,5,6,1,,,,,,,1,3,,4,4,5,2,100,4,3,3,3,3,10 minuets,no,it was interesting
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,8,50,20,1,8,june,27,1,1,1,7.855,7.855,8.8009996,1,1,1.679,7.539,10.023,2,0,0.33500001,5.3610001,7.9699998,2,1,6.2719998,6.2719998,10.016,1,,1.594,1.594,10.065,1,61,2,,2,7,1,,,,,,,10,1,,2,2,2,1,0,5,1,4,3,1,5,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:53,1,,,,,,,,,,,4,1,1,8,1,20,2,7,Emily,45,2,1,1,9.7950001,9.7950001,10.11,1,,0,0,10.106,0,0,5.0370002,5.0370002,6.6209998,1,1,5.5349998,5.5349998,7.224,1,1,5.7919998,5.7919998,7.7389998,1,63,2,,2,6,1,,,,,,,4,6,,3,3,3,5,53,5,5,5,5,5,10 min,10 min,
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,50,20,second,8,June,27,3,1,1,6.4229999,6.4229999,7.3829999,1,1,6.631,6.631,7.6490002,1,0,5.559,5.559,6.4689999,1,1,5.0700002,5.0700002,6.0830002,1,1,5.7600002,5.7600002,6.7360001,1,33,2,,3,7,1,,,,,,,10,1,,1,2,2,1,0,5,2,4,2,4,6 minutes,10 minutes,This was unique and was interesting.
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:49,1,,,,,,,,,,,4,1,1,8,10,20,1,8,Emily,3,2,1,1,4.5029998,4.5029998,7.0910001,1,1,3.085,3.085,4.2490001,1,0,4.4050002,4.4050002,5.3280001,1,1,3.948,3.948,5.0570002,1,1,6.1389999,6.1389999,9.0319996,1,70,2,,2,3,1,,,,,,,1,2,,5,5,5,2,100,5,1,2,5,1,15,20,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:52,1,,,,,,,,,,,5,1,1,8,50,20,2 place,7,june,3,3,1,0,9.5629997,9.5629997,10.016,1,1,4.039,4.039,7.9169998,1,0,9.4390001,9.4390001,10.013,1,1,3.7579999,3.7579999,7.1700001,1,,0,0,10.011,0,58,1,,2,6,1,,,,,,,10,1,,2,3,3,1,0,4,3,5,5,2,10 min,10,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 9:07,1,,,,,,,,,,,4,1,1,8,50,20,first,7,june,27,1,1,0,5.152,5.152,7.0599999,1,0,4.9569998,4.9569998,10.009,1,0,8.6960001,8.6960001,10.006,1,,0,0,10.007,0,0,7.3959999,7.3959999,10.007,1,21,2,,3,4,,1,,,,,,10,1,,3,3,3,4,0,4,3,5,2,3,12 minutes,10,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,22,10,20,1,7,june,3,3,1,0,5.1680002,5.1680002,6.46,1,0,5.1529999,5.1529999,6.6040001,1,1,4.2930002,4.2930002,5.8049998,1,0,5.9759998,5.9759998,7.2909999,1,0,2.799,2.799,4.4559999,1,25,2,,4,9,1,,,,,,,9,3,,3,4,4,5,2,5,5,5,5,5,im not sure.,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:53,1,,,,,,,,,,,4,1,1,4,10,39,second,8,Emily,0,2,1,1,3.2149999,3.2149999,4.4400001,1,1,4.8639998,4.8639998,5.9569998,1,1,5.9239998,5.9239998,7.461,1,1,5.4349999,5.4349999,6.6589999,1,1,2.868,2.868,4.1570001,1,69,1,,5,8,1,,,,,,,0,3,,4,3,4,2,100,5,1,4,3,3,4 minutes,10 minutes,not really
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 9:37,1,,,,,,,,,,,4,1,1,24,50,20,second,8,Emily,27,2,1,1,2.845,2.845,3.5320001,1,1,2.9200001,2.9200001,3.8069999,1,0,3.0910001,3.0910001,3.9059999,1,1,2.49,2.49,3.24,1,1,4.75,4.75,5.5250001,1,69,2,,3,8,1,,,,,,,6,2,,6,5,4,2,93,4,2,3,3,2,10,15-Oct,Thanks for theinvitation to participate
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,50,20,1st,8,June,27,3,1,1,6.9260001,6.9260001,10.009,1,1,5.9060001,6.9299998,8.4799995,2,0,7.6620002,7.6620002,8.8070002,1,1,5.9050002,5.9050002,7.8649998,1,1,8.717,8.717,9.9879999,1,66,2,,3,4,1,,,,,,,9,1,,3,3,3,1,0,5,2,,2,1,5,10,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 9:31,1,,,,,,,,,,,4,1,1,8,10,20,first,7,Emily,27,1,1,1,2.2709999,2.2709999,3.1889999,1,1,2.6370001,4.1869998,5.098,2,0,4.8280001,4.8280001,5.7309999,1,1,2.1630001,2.1630001,3.191,1,1,4.493,4.493,5.2909999,1,52,1,,5,5,1,,,,,,,1,2,,6,5,5,2,99,2,3,2,2,3,5 minutes,5 minutes,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:45,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,8,50,20,first,7,june,36,1,1,1,3.4949999,3.4949999,4.6110001,1,1,3,3,4.0419998,1,1,3.8729999,3.8729999,6.4250002,1,1,3.849,3.849,5.0229998,1,1,2.8340001,2.8340001,4.4419999,1,29,1,,5,9,1,,,,,,,10,1,,2,2,1,1,0,5,2,5,3,2,10 minutes,10 minutes,"this was very interesting, thank you."
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,10,39,second,8,emily,27,2,1,1,4.7880001,4.7880001,6.223,1,0,3.4909999,3.4909999,6.0809999,1,0,4.6259999,4.6259999,10.137,1,1,0.264,6.7989998,8.0389996,2,1,6.3839998,6.3839998,7.3790002,1,72,2,,2,5,1,,,,,,,6,3,,4,4,4,5,76,5,3,4,3,4,10,10,
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,10,20,1,7,June,3,3,1,1,5.0240002,5.0240002,5.8000002,1,0,3.9189999,3.9590001,5.3060002,2,0,9.3240004,9.368,10.01,2,1,4.855,4.855,6.6110001,1,0,4.4239998,5.6209998,6.2870002,3,33,2,,3,7,,1,,,,,,,3,,3,3,3,6,0,2,4,5,2,4,3 minutes,10 minutes,it was fun
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:55,1,,,,,,,,,,,4,1,1,8,50,20,1,8,Emily,9,3,1,1,5.4970002,5.4970002,7.6700001,1,1,4.8330002,4.8330002,7.0050001,1,0,6.4520001,6.4520001,8.2150002,1,1,6.5149999,6.5149999,9.1370001,1,,0,0,10.01,0,66,2,,2,4,1,,,,,,,3,1,,4,4,4,2,100,5,2,4,3,3,10 min,dont remember,interesting
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,8,1,1,1,8,june,3,3,1,1,5.1300001,9.5860004,10.214,2,1,0.28200001,4.9549999,7.8839998,2,0,7.7579999,7.7579999,8.7329998,1,1,6.5619998,6.5619998,7.9569998,1,1,7.2030001,7.2030001,8.5209999,1,67,1,,2,6,1,,,,,,,10,3,,2,3,2,1,0,5,2,4,5,5,10 min,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 9:02,1,,,,,,,,,,,4,1,1,8,10,20,1,8,june,27,3,1,1,7.2719998,7.2719998,9.6680002,1,1,5.7529998,5.7529998,7.0619998,1,0,4.5009999,4.5009999,6.4369998,1,1,4.586,4.586,5.698,1,1,6.2379999,6.2379999,7.691,1,66,1,,5,7,1,,,,,,,3,3,,3,3,4,2,100,5,1,5,1,3,12,15,interesting
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:50,1,,,,,,,,,,,4,1,1,8,10,20,1,7,June,9,3,1,0,7.7470002,7.7470002,8.8369999,1,1,6.5570002,6.5570002,7.5960002,1,0,7.3000002,7.3000002,8.3389997,1,1,5.9429998,5.9429998,7.1009998,1,0,8.0679998,8.0679998,8.915,1,66,2,,3,5,1,,,,,,,8,1,,3,3,3,1,82,3,3,4,2,4,5 minutes,10,No
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:49,1,,,,,,,,,,,4,1,1,8,10,39,first,8,Emily,27,3,1,1,6.4580002,6.4580002,7.888,1,1,4.552,4.552,5.7399998,1,0,6.3499999,6.3499999,8.3620005,1,1,5.6040001,5.6040001,6.7319999,1,,8.9540005,8.9540005,10.007,1,48,1,,6,10,,,,1,,,,2,3,,4,3,2,2,62,1,2,4,3,3,10 minutes,20 minutes,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 9:04,1,,,,,,,,,,,4,1,1,8,1,20,first,7,june,27,3,1,0,6.678,6.678,8.3859997,1,0,5.1220002,5.1220002,6.5469999,1,0,6.7020001,6.7020001,8.4110003,1,1,8.3870001,8.3870001,9.8129997,1,,0,0,10.007,0,77,1,,4,10,1,,,,,,,8,1,,3,4,4,2,20,5,4,5,4,3,20,no,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:44,1,,,,,,,,,,,4,1,1,0,0,0,0,0,0,0,3,1,0,1.091,1.091,1.989,1,0,1.326,1.326,1.967,1,0,0.47099999,1.351,2.599,2,0,0.39899999,0.39899999,1.209,1,1,0.46599999,1.169,9.8249998,2,33,1,,2,1,1,,,,,,,0,3,,6,3,3,6,0,1,1,1,1,1,,,
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 9:02,1,,,,,,,,,,,4,1,1,8,1,20,2,8,emilys,3,1,1,0,2.75,4.9450002,6.9169998,2,0,5.5149999,5.5149999,8.3649998,1,,0,0,10.014,0,,0,0,10.023,0,0,8.1400003,9.5930004,10.007,2,27,1,,5,9,1,,,,,,,8,2,,5,3,3,2,83,3,3,5,4,5,10 minutes,10 minutes,excelent i like
1,Default Response Set,Anonymous,,,0,1/9/2020 8:42,1/9/2020 8:52,1,,,,,,,,,,,4,1,1,4,10,39,2nd,8,Emily,27,2,1,1,5.8860002,5.8860002,7.598,1,1,4.8699999,4.8699999,6.4369998,1,,0,0,10.216,0,1,6.9260001,6.9260001,10.119,1,0,8.9689999,8.9689999,10.214,1,61,1,,2,2,1,,,,,,,1,3,,4,3,3,2,60,4,1,1,1,2,10 minutes,10 minutes,none
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:51,1,,,,,,,,,,,4,1,1,8,50,20,2,8,Emily,9,1,1,1,5.0739999,5.0739999,6.631,1,1,3.073,3.073,4.7540002,1,0,3.7490001,3.7490001,5.277,1,1,4.0890002,4.0890002,7.2670002,1,1,9.3009996,9.3009996,10.221,1,71,1,,3,4,1,,,,,,,8,1,,3,3,4,2,50,4,3,5,1,5,15,10 to 15,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 9:15,1,,,,,,,,,,,4,1,1,8,50,2,first,7,June,9,3,1,0,6.777,6.777,7.6079998,1,1,2.6389999,2.6389999,3.5120001,1,0,8.2200003,8.2200003,9.21,1,1,2.2650001,2.2650001,4.691,1,1,6.9359999,6.9359999,7.7540002,1,43,2,,5,10,1,,,,,,,6,2,,6,5,5,2,100,5,2,5,5,1,5,10,Thank you!
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:47,1,,,,,,,,,,,4,1,1,8,50,20,second,8,emily,27,1,1,1,2.0829999,4.677,5.3330002,2,0,1.779,1.779,2.5650001,1,0,2.707,2.707,3.5669999,1,1,1.309,1.309,2.5120001,1,0,1.793,1.793,2.5810001,1,24,2,,3,5,,,,1,,,,10,3,,3,3,3,1,0,5,4,5,3,5,6 minutes,10 minutes,no it was very good
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:53,1,,,,,,,,,,,4,1,1,8,50,20,1,8,June,3,3,1,1,7.5669999,7.5669999,9.0620003,1,1,4.6420002,4.6420002,10.007,1,0,6.5749998,6.5749998,10.009,1,1,3.013,3.013,4.467,1,1,7.5929999,7.5929999,9.6459999,1,82,1,,5,7,1,,,,,,,9,1,,2,3,2,4,0,4,3,4,3,3,2 minutes,Forever,None
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:49,1,,,,,,,,,,,4,1,1,8,50,20,1st,8,Emily,27,2,1,1,6.2350001,6.2350001,7.2389998,1,,0,0,10.027,0,,0,0,10.025,0,1,7.7750001,7.7750001,10.121,1,,0,0,5.2779999,0,49,2,,5,8,1,,,,,,,5,2,,5,5,5,2,96,5,3,5,5,3,5 minutes,no,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:49,1,,,,,,,,,,,4,1,1,4,10,20,1st,7,April,9,3,1,1,3.832,3.832,4.8740001,1,0,3.191,5.9260001,7.3140001,2,0,3.737,3.737,4.6669998,1,1,4.4899998,4.4899998,5.783,1,1,5.0539999,5.0539999,6.0310001,1,72,1,,5,9,1,,,,,,,9,1,,2,2,2,1,0,5,2,4,4,3,5 minutes,10,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:44,1/9/2020 8:53,1,,,,,,,,,,,4,1,1,8,50,20,1st,8,june,27,3,1,1,3.7030001,3.7030001,5.25,1,1,2.6059999,2.6059999,3.5139999,1,1,3.105,3.105,4.3379998,1,1,4.4349999,5.658,6.0609999,2,1,2.8759999,2.8759999,4.165,1,44,1,,5,9,1,,,,,,,10,1,,2,1,2,1,0,5,1,4,3,4,10,10,Nope
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 9:01,1,,,,,,,,,,,4,1,1,8,10,20,1,7,june,3,3,1,1,6.71,6.71,7.4840002,1,1,4.052,4.052,4.9120002,1,0,7.6490002,7.6490002,8.493,1,1,4.217,5.6929998,6.3509998,2,0,5.1609998,5.1609998,5.8540001,1,54,2,,2,3,1,,,,,,,10,6,,3,3,3,4,0,5,1,1,1,1,10,10,no
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:52,1,,,,,,,,,,,4,1,1,8,10,20,First,8,June,27,2,1,1,4.2459998,4.2459998,5.3720002,1,1,5.0549998,5.0549998,6.52,1,0,4.5539999,4.5539999,5.8039999,1,1,3.901,3.901,5.112,1,1,6.9349999,6.9349999,8.2399998,1,72,1,,6,6,1,,,,,,,10,1,,1,1,2,1,0,5,1,3,3,1,7 minutes,I think 10 minutes.,Noting in particular.
1,Default Response Set,Anonymous,,,0,1/9/2020 8:43,1/9/2020 8:58,1,,,,,,,,,,,4,1,1,8,50,20,first,8,Emily,0,3,1,,0,0,10.034,0,0,2.6070001,2.6070001,3.8080001,1,0,6.0100002,6.0100002,10.013,1,1,8.427,8.427,10.124,1,,0,0,0.294,0,55,2,,6,8,1,,,,,,,10,1,,2,2,1,1,0,5,3,5,5,2,10 minutes,10 minutes,was very different and interesting survey
