V1,V2,V3,V4,V5,V7,V8,V9,V10,confirmCode,Condition,Counterbalance,IDInst,FB,Term,Inst_SM,Fake1_SM,Fake1_3,Fake1_RT_1,Fake1_RT_2,Fake1_RT_3,Fake1_RT_4,Fake2_SM,Fake2_3,Fake2_RT_1,Fake2_RT_2,Fake2_RT_3,Fake2_RT_4,Fake3_SM,Fake3_3,Fake3_RT_1,Fake3_RT_2,Fake3_RT_3,Fake3_RT_4,Fake4_SM,Fake4_3,Fake4_RT_1,Fake4_RT_2,Fake4_RT_3,Fake4_RT_4,Fake5_SM,Fake5_3,Fake5_RT_1,Fake5_RT_2,Fake5_RT_3,Fake5_RT_4,Fake6_SM,Fake6_3,Fake6_RT_1,Fake6_RT_2,Fake6_RT_3,Fake6_RT_4,Fake7_SM,Fake7_3,Fake7_RT_1,Fake7_RT_2,Fake7_RT_3,Fake7_RT_4,Fake8_SM,Fake8_3,Fake8_RT_1,Fake8_RT_2,Fake8_RT_3,Fake8_RT_4,Fake9_SM,Fake9_3,Fake9_RT_1,Fake9_RT_2,Fake9_RT_3,Fake9_RT_4,Fake10_SM,Fake10_3,Fake10_RT_1,Fake10_RT_2,Fake10_RT_3,Fake10_RT_4,Fake11_SM,Fake11_3,Fake11_RT_1,Fake11_RT_2,Fake11_RT_3,Fake11_RT_4,Fake12_SM,Fake12_3,Fake12_RT_1,Fake12_RT_2,Fake12_RT_3,Fake12_RT_4,Real1_SM,Real1_3,Real_RT_1,Real_RT_2,Real_RT_3,Real_RT_4,Real2_SM,Real2_3,Real2_RT_1,Real2_RT_2,Real2_RT_3,Real2_RT_4,Real3_SM,Real3_3,Real3_RT_1,Real3_RT_2,Real3_RT_3,Real3_RT_4,Real4_SM,Real4_3,Real4_RT_1,Real4_RT_2,Real4_RT_3,Real4_RT_4,Real5_SM,Real5_3,Real5_RT_1,Real5_RT_2,Real5_RT_3,Real5_RT_4,Real6_SM,Real6_3,Real6_RT_1,Real6_RT_2,Real6_RT_3,Real6_RT_4,Real7_SM,Real7_3,Real7_RT_1,Real7_RT_2,Real7_RT_3,Real7_RT_4,Real8_SM,Real8_3,Real8_RT_1,Real8_RT_2,Real8_RT_3,Real8_RT_4,Real9_SM,Real9_3,Real9_RT_1,Real9_RT_2,Real9_RT_3,Real9_RT_4,Real10_SM,Real10_3,Real10_RT_1,Real10_RT_2,Real10_RT_3,Real10_RT_4,Real11_SM,Real11_3,Real11_RT_1,Real11_RT_2,Real11_RT_3,Real11_RT_4,Real12_SM,Real12_3,Real12_RT_1,Real12_RT_2,Real12_RT_3,Real12_RT_4,Pretest2,NeuFakeImp,Neu1_2,Neu1_RT_1,Neu1_RT_2,Neu1_RT_3,Neu1_RT_4,NeuRealImp,Neu3_2,Neu3_RT_1,Neu3_RT_2,Neu3_RT_3,Neu3_RT_4,Pretest1,CRT_Inst,CRT1_1,CRT1_1_RT_1,CRT1_1_RT_2,CRT1_1_RT_3,CRT1_1_RT_4,CRT1_2,CRT1_2_RT_1,CRT1_2_RT_2,CRT1_2_RT_3,CRT1_2_RT_4,CRT1_3,CRT1_3_RT_1,CRT1_3_RT_2,CRT1_3_RT_3,CRT1_3_RT_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,CRT_chk,Age,Sex,Education,English,Party,Party_TEXT,Social_Conserv,Economic_Conserv,POTUS2016,ClintonTrump,DemRep,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,AccImp,FB_F,SocialMedia_Chk,Theism1,Theism2_1,Theism2_2,Theism2_3,Theism2_4,note,Random,Google,Fabricate,Comments,Length
R_Zt96BObnGZTY4X7,Default Response Set,Anonymous,,,0,10/4/2017 8:47,10/4/2017 8:55,1,226053,2,1,1,1,,1,1,1,9.056,9.056,10.655,1,1,1,3.245,3.245,4.469,1,1,5,8.306,8.306,9.06,1,1,2,4.808,4.808,5.822,1,1,1,4.448,5.521,6.407,2,1,1,6.462,6.462,7.816,1,1,4,7.162,7.162,8.132,1,1,3,8.094,8.094,9.31,1,1,2,4.697,4.697,5.885,1,1,2,4.314,4.314,5.338,1,1,4,2.434,5.694,6.521,2,1,5,6.884,6.884,7.605,1,1,4,5.327,6.186,7.084,2,1,4,4.182,4.182,5.571,1,1,3,5.035,7.182,8.02,3,1,1,4.802,6.898,7.996,4,1,2,7.879,7.879,8.886,1,1,1,4.672,4.672,5.703,1,1,2,10.722,10.722,11.637,1,1,4,5.373,5.373,6.291,1,1,4,4.899,6.278,7.078,2,1,5,5.031,6.482,7.162,2,1,4,3.579,3.579,5.273,1,1,6,3.882,3.882,5.577,1,,1,2,14.755,17.333,19.562,2,,,,,,,1,1,8,3.41,3.41,9.642,1,50,1.877,1.877,5.219,1,20,1.681,1.681,14.046,1,first,8,Emily,27,3,29,1,5,1,3,,2,3,1,1,1,2,2,2,4,3,2,1,5,1,1,1,,,,1,2,2,1,Cool survey that highlights a destructive problem in our society.,15 mintues
R_33f1XZmay4BLrev,Default Response Set,Anonymous,,,0,10/4/2017 8:48,10/4/2017 8:56,1,973237,2,2,1,1,,1,1,2,5.583,5.583,6.543,1,1,1,6.463,6.463,9.728,1,1,1,4.626,6.709,7.631,2,1,6,5.686,5.686,8.513,1,1,1,3.473,3.473,4.396,1,1,2,4.598,4.598,5.338,1,1,1,7.892,7.892,8.794,1,1,4,4.431,5.497,7.008,2,1,1,20.824,20.824,21.779,1,1,1,4.526,4.526,5.882,1,1,2,4.404,4.404,5.337,1,1,1,8.107,8.107,9.38,1,1,1,4.352,4.352,5.106,1,1,1,4.352,4.352,5.271,1,1,5,6.133,6.133,6.676,1,1,2,3.475,3.475,4.269,1,1,4,5.091,5.091,6.194,1,1,4,5.093,5.877,7.197,2,1,2,4.7,4.7,5.807,1,1,1,3.703,3.703,4.853,1,1,4,5.684,5.684,6.895,1,1,1,3.801,3.801,4.917,1,1,1,3.388,3.388,4.632,1,1,2,5.415,5.415,6.419,1,,,,,,,,1,2,11.771,11.771,13.913,1,1,1,8,1.938,1.938,8.001,1,10,6.66,6.66,15.244,1,39,10.037,10.037,16.099,1,2,15,Emily,27,3,25,1,3,1,3,,4,4,2,2,1,2,2,4,2,3,2,5,5,1,3,1,,,,1,2,2,3,Hope my answers help your study,10 minutes
R_1jTeQ7xiGXYfBac,Default Response Set,Anonymous,,,0,10/4/2017 8:47,10/4/2017 8:56,1,634551,2,1,1,1,,1,1,1,4.251,4.251,5.204,1,1,1,2.612,2.612,4.09,1,1,1,2.74,3.576,5.259,2,1,1,2.763,2.763,5.358,1,1,1,3.509,3.509,4.516,1,1,1,31.671,31.671,37.462,1,1,1,7.622,7.622,8.542,1,1,1,6.701,6.701,7.63,1,1,1,2.13,2.13,3.012,1,1,1,2.171,2.171,2.987,1,1,1,4.345,4.345,5.597,1,1,1,3.463,3.463,7.503,1,1,4,8.904,8.904,9.653,1,1,1,3.55,3.55,4.676,1,1,3,5.565,5.565,6.454,1,1,3,31.263,31.263,32.104,1,1,2,16.6,19.201,20.602,3,1,4,10.138,10.138,10.913,1,1,1,9.075,9.075,10.087,1,1,4,7.719,7.719,8.813,1,1,1,7.095,8.603,9.619,2,1,4,5.984,5.984,6.805,1,1,4,10.868,10.868,11.614,1,1,4,8.89,8.89,9.643,1,,1,1,4.093,4.093,6.073,1,,,,,,,1,1,8,2.361,2.361,33.377,1,10,1.462,1.462,7.487,1,39,1.333,1.333,7.245,1,first,8,Emily,3,2,33,2,4,1,1,,1,2,1,1,1,2,2,3,3,2,1,5,5,1,3,1,,,,1,2,2,3,no,7 minutes
R_1OiTRx2x1asvOAN,Default Response Set,Anonymous,,,0,10/4/2017 8:48,10/4/2017 8:57,1,568089,1,1,1,1,,1,1,1,2.048,3.657,4.659,2,1,1,2.909,5.216,6.284,3,1,1,1.648,3.143,4.074,2,1,1,2.299,5.653,6.677,4,1,1,4.765,6.132,7.195,2,1,1,1.867,3.521,4.637,2,1,1,1.756,2.874,3.928,2,1,1,1.982,3.782,4.877,2,1,1,3.997,5.237,6.348,2,1,1,2.2,3.662,4.652,2,1,1,1.722,2.915,3.996,2,1,1,3.103,4.596,5.875,2,1,1,2.551,4.003,5.226,2,1,1,1.491,2.831,3.757,2,1,1,3.696,4.919,6.103,2,1,1,1.774,2.9,3.918,2,1,1,1.714,4.217,5.219,3,1,1,2.828,4.121,6.134,2,1,1,1.731,5.323,6.426,3,1,1,2.125,3.783,5.134,2,1,1,1.683,2.973,4.161,2,1,1,2.888,4.502,5.497,2,1,1,1.808,3.252,4.295,2,1,1,2.305,3.663,4.764,2,1,1,1,3.692,6.489,8.118,3,,,,,,,,1,8,4.787,55.628,57.326,2,50,2.674,8.766,9.417,2,11,2.866,30.059,31.894,2,2,8,Emily,None,3,37,2,5,1,1,,1,1,1,1,1,1,1,5,5,3,2,5,5,1,4,1,,,,1,2,2,3,,5 minutes
R_sStD4KePiKWDnq1,Default Response Set,Anonymous,,,0,10/4/2017 8:52,10/4/2017 8:57,1,819400,1,2,1,1,,1,1,1,9.008,9.008,10.558,1,1,1,8.653,8.653,9.754,1,1,1,3.768,3.768,4.932,1,1,1,5.307,5.723,6.72,2,1,1,6.237,6.237,7.098,1,1,1,6.528,6.528,7.316,1,1,2,5.932,6.518,7.329,2,1,1,4.869,5.205,6.114,2,1,1,6.053,6.053,6.883,1,1,1,4.145,4.145,5.375,1,1,1,2.489,2.489,4.189,1,1,1,8.801,8.801,10.062,1,1,3,4.092,4.092,4.816,1,1,1,2.717,2.717,4.042,1,1,2,6.524,6.948,7.641,2,1,2,3.523,3.523,4.338,1,1,1,2.593,2.593,3.541,1,1,3,6.101,6.101,6.914,1,1,2,2.657,3.057,3.828,2,1,2,3.475,3.475,4.247,1,1,3,3.886,3.886,4.619,1,1,3,4.28,7.016,7.677,3,1,3,2.819,3.411,4.152,2,1,3,2.996,2.996,4.556,1,1,,,,,,,1,3,2.494,2.494,3.156,1,,1,8,2.361,2.361,9.686,1,10,1.123,1.123,3.959,1,39,1.017,1.017,4.144,1,1,8,Emily,27,3,36,2,6,1,1,,2,2,1,1,1,2,2,3,4,3,2,4,4,1,4,,,,1,1,2,2,3,,7 minutes 
R_21v4fQlHNR4oheI,Default Response Set,Anonymous,,,0,10/4/2017 8:51,10/4/2017 8:57,1,936520,1,1,1,1,,1,1,1,4.081,4.081,5.456,1,1,1,2.459,2.459,9.281,1,1,1,5.909,5.909,7.134,1,1,3,15.613,15.613,16.701,1,1,1,4.564,5.115,6.081,2,1,1,4.639,4.639,6.271,1,1,1,12.208,12.208,13.048,1,1,2,8.767,8.767,9.742,1,1,1,3.433,3.433,4.871,1,1,1,2.453,2.453,3.508,1,1,1,2.664,2.664,5.647,1,1,1,3.939,3.939,6.131,1,1,4,4.096,4.096,5.702,1,1,1,5.618,5.618,9.789,1,1,1,2.489,2.489,3.577,1,1,1,3.849,3.849,4.923,1,1,1,2.34,2.34,3.573,1,1,1,3.89,3.89,4.922,1,1,1,3.432,3.432,5.302,1,1,1,3.984,3.984,5.135,1,1,4,6.177,6.177,7.271,1,1,3,9.223,10.895,11.822,3,1,1,2.916,2.916,3.933,1,1,2,5.472,6.647,7.512,2,1,1,1,23.767,23.767,24.752,1,,,,,,,,1,4,1.16,1.16,21.01,1,10,1.476,1.476,6.141,1,39,1.404,1.404,4.938,1,second,8,June,27,3,49,1,5,1,3,,2,3,1,1,1,2,1,3,4,3,2,5,4,1,3,1,,,,1,2,2,2,,7 minutes
R_0fwr0k5v2ADDcGZ,Default Response Set,Anonymous,,,0,10/4/2017 8:50,10/4/2017 8:58,1,812226,2,2,1,1,,1,1,1,4.086,4.086,5.616,1,1,2,7.21,9.069,10.07,3,1,1,7.004,7.004,8.056,1,1,1,3.486,4.193,5.838,2,1,1,2.798,5.242,5.937,4,1,1,2.607,2.607,4.759,1,1,1,4.983,4.983,6.937,1,1,1,3.05,3.65,4.604,2,1,2,6.163,6.163,7.211,1,1,1,2.47,2.47,3.407,1,1,1,2.701,2.701,3.555,1,1,1,3.092,3.092,4.51,1,1,1,4.324,4.324,5.246,1,1,1,2.024,2.024,2.755,1,1,1,2.645,3.381,4.416,2,1,1,2.678,2.678,3.519,1,1,1,4.034,4.034,5.117,1,1,2,9.121,10.658,11.053,3,1,1,3.774,3.774,4.985,1,1,1,2.847,2.847,4.438,1,1,1,1.44,2.358,3.114,2,1,1,1.577,2.208,3.211,2,1,1,4.01,4.01,5.685,1,1,1,1.867,2.461,4.347,2,,,,,,,,1,3,10.774,10.774,12.05,1,1,1,8,5.469,54.493,56.57,3,10,5.663,5.663,11.692,1,39,0.86,0.86,13.103,1,second,8,emily,none,1,24,2,4,1,1,,1,2,1,1,1,2,2,2,2,3,2,5,3,2,3,,,1,,1,2,2,3,,7 mins
R_3FKflY5KBlpvRNv,Default Response Set,Anonymous,,,0,10/4/2017 8:51,10/4/2017 8:58,1,91951,2,2,1,1,,1,1,6,1.052,6.338,7.188,3,1,6,5.395,5.395,7.381,1,1,6,1.663,13.485,13.957,7,1,3,1.91,4.59,5.456,2,1,4,0.533,1.915,2.942,3,1,5,1.649,1.649,3.12,1,1,2,2.172,3.996,4.343,4,1,5,0.879,2.434,2.976,3,1,6,0.748,0.748,2.596,1,1,3,0.77,0.77,2.066,1,1,5,3.722,4.603,6.715,2,1,3,2.951,3.299,4.459,2,1,4,3.862,12.759,13.002,5,1,6,1.429,2.951,3.528,2,1,5,0.659,1.457,2.02,2,1,6,2.908,2.908,3.523,1,1,3,0.786,1.457,3.613,2,1,4,1.154,1.154,3.025,1,1,5,0.73,0.73,2.164,1,1,5,0.753,0.753,2.969,1,1,3,0.531,0.531,1.755,1,1,3,1.529,1.529,2.794,1,1,5,19.806,19.806,20.538,1,1,3,1.07,1.746,2.681,2,,,,,,,,1,3,17.257,23.612,25.119,3,1,1,8,8.146,8.146,13.688,1,10,15.045,15.045,22.374,1,20,8.662,9.052,11.283,2,1,8,June,27,3,31,1,5,1,2,,5,5,2,2,2,1,2,2,4,3,1,3,5,1,1,1,1,1,,1,2,2,3,None. Thank you.,8 minutes
R_3nOwZjD3GLLTLBo,Default Response Set,Anonymous,,,0,10/4/2017 8:51,10/4/2017 8:59,1,365173,1,2,1,1,,1,1,3,11.012,12.538,13.717,2,1,5,4.967,4.967,7.121,1,1,1,6.38,6.38,7.312,1,1,4,6.73,8.348,9.077,3,1,2,7.807,7.807,8.575,1,1,1,10.579,12.02,13.362,3,1,4,8.716,9.19,10.018,2,1,3,9.167,9.486,10.782,2,1,1,11.326,13.334,15.338,5,1,2,6.343,6.343,7.63,1,1,1,12.65,12.65,13.511,1,1,5,13.322,13.322,15.957,1,1,2,5.488,5.847,6.816,2,1,1,3.743,4.941,5.732,2,1,2,7.9,9.525,10.716,3,1,5,3.486,3.486,5.939,1,1,3,7.428,8.121,10.01,2,1,1,9.274,10.673,11.625,4,1,1,13.747,14.137,15.168,2,1,1,3.978,4.817,9.981,3,1,2,8.169,8.169,9.2,1,1,4,5.76,6.514,7.321,3,1,1,2.455,2.455,4.288,1,1,2,9.893,9.893,10.932,1,1,,,,,,,1,4,6.963,6.963,9.53,1,,1,8,3.88,3.88,10.944,1,50,2.509,2.509,18.865,1,39,8.769,8.769,12.626,1,1st,8,June,18,3,31,2,5,1,3,,2,3,3,1,1,1,2,1,2,2,2,4,3,2,1,1,,,,1,2,2,1,none,10 minutes
R_3KCMg0Vhd0Gdzyf,Default Response Set,Anonymous,,,0,10/4/2017 8:50,10/4/2017 8:59,1,517770,2,2,1,1,,1,1,1,5.118,11.205,11.853,4,1,2,15.067,16.401,17.328,2,1,1,5.931,9.198,10.058,3,1,1,6.349,8.248,9.51,3,1,5,4.265,5.401,6.145,2,1,5,3.785,5.996,6.918,2,1,5,5.337,9.069,10.009,3,1,3,4.731,9.282,12.262,4,1,1,4.78,7.976,8.694,3,1,1,6.193,11.144,12.394,4,1,5,3.344,4.847,5.685,2,1,1,7.011,8.419,9.807,2,1,3,3.873,5.324,6.357,2,1,1,7.843,13.391,14.327,4,1,2,2.301,4.197,5.529,2,1,5,5.143,6.371,7.148,2,1,1,4.855,6.195,7.26,2,1,1,9.994,11.662,12.75,2,1,1,3.702,6.377,7.617,3,1,5,4.055,6.883,8.067,2,1,2,2.054,3.318,4.753,2,1,2,2.48,5.467,6.862,3,1,5,3.031,8.663,9.808,2,1,5,8.164,10.348,11.528,3,,,,,,,,1,4,5.7,11.043,11.851,2,1,1,8,14.308,14.308,17.373,1,5,6.627,6.627,17.33,1,20,1.403,1.403,6.627,1,3,7,june,4,1,31,1,4,1,1,,1,1,2,1,1,1,1,3,3,3,3,3,5,1,1,1,,,,1,2,2,3,,10 minutes
