ResponseID,ResponseSet,Name,ExternalDataReference,Email,Status,StartDate,EndDate,Finished,confirmCode,Condition,Counterbalance,AccImp_Order,IDInst,FB,Term,Inst_SM,Fake1_SM,Fake1_3,Fake1_RT_1,Fake1_RT_2,Fake1_RT_3,Fake1_RT_4,Fake2_SM,Fake2_3,Fake2_RT_1,Fake2_RT_2,Fake2_RT_3,Fake2_RT_4,Fake3_SM,Fake3_3,Fake3_RT_1,Fake3_RT_2,Fake3_RT_3,Fake3_RT_4,Fake4_SM,Fake4_3,Fake4_RT_1,Fake4_RT_2,Fake4_RT_3,Fake4_RT_4,Fake5_SM,Fake5_3,Fake5_RT_1,Fake5_RT_2,Fake5_RT_3,Fake5_RT_4,Fake6_SM,Fake6_3,Fake6_RT_1,Fake6_RT_2,Fake6_RT_3,Fake6_RT_4,Fake7_SM,Fake7_3,Fake7_RT_1,Fake7_RT_2,Fake7_RT_3,Fake7_RT_4,Fake8_SM,Fake8_3,Fake8_RT_1,Fake8_RT_2,Fake8_RT_3,Fake8_RT_4,Fake9_SM,Fake9_3,Fake9_RT_1,Fake9_RT_2,Fake9_RT_3,Fake9_RT_4,Fake10_SM,Fake10_3,Fake10_RT_1,Fake10_RT_2,Fake10_RT_3,Fake10_RT_4,Fake11_SM,Fake11_3,Fake11_RT_1,Fake11_RT_2,Fake11_RT_3,Fake11_RT_4,Fake12_SM,Fake12_3,Fake12_RT_1,Fake12_RT_2,Fake12_RT_3,Fake12_RT_4,Real1_SM,Real1_3,Real_RT_1,Real_RT_2,Real_RT_3,Real_RT_4,Real2_SM,Real2_3,Real2_RT_1,Real2_RT_2,Real2_RT_3,Real2_RT_4,Real3_SM,Real3_3,Real3_RT_1,Real3_RT_2,Real3_RT_3,Real3_RT_4,Real4_SM,Real4_3,Real4_RT_1,Real4_RT_2,Real4_RT_3,Real4_RT_4,Real5_SM,Real5_3,Real5_RT_1,Real5_RT_2,Real5_RT_3,Real5_RT_4,Real6_SM,Real6_3,Real6_RT_1,Real6_RT_2,Real6_RT_3,Real6_RT_4,Real7_SM,Real7_3,Real7_RT_1,Real7_RT_2,Real7_RT_3,Real7_RT_4,Real8_SM,Real8_3,Real8_RT_1,Real8_RT_2,Real8_RT_3,Real8_RT_4,Real9_SM,Real9_3,Real9_RT_1,Real9_RT_2,Real9_RT_3,Real9_RT_4,Real10_SM,Real10_3,Real10_RT_1,Real10_RT_2,Real10_RT_3,Real10_RT_4,Real11_SM,Real11_3,Real11_RT_1,Real11_RT_2,Real11_RT_3,Real11_RT_4,Real12_SM,Real12_3,Real12_RT_1,Real12_RT_2,Real12_RT_3,Real12_RT_4,Pretest2,NeuFakeImp,Neu1_2,Neu1_RT_1,Neu1_RT_2,Neu1_RT_3,Neu1_RT_4,NeuRealImp,Neu3_2,Neu3_RT_1,Neu3_RT_2,Neu3_RT_3,Neu3_RT_4,Pretest1,CRT_Inst,CRT1_1,CRT1_1_RT_1,CRT1_1_RT_2,CRT1_1_RT_3,CRT1_1_RT_4,CRT1_2,CRT1_2_RT_1,CRT1_2_RT_2,CRT1_2_RT_3,CRT1_2_RT_4,CRT1_3,CRT1_3_RT_1,CRT1_3_RT_2,CRT1_3_RT_3,CRT1_3_RT_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,CRT_chk,Age,Sex,Education,English,Party,Party_TEXT,Social_Conserv,Economic_Conserv,POTUS2016,ClintonTrump,DemRep,SocialCircle_2,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,FB_F,SocialMedia_Chk,AccImp,AccImp_Friends,FNE_Inst,FNE_1,FNE_2,FNE_3,FNE_4,FNE_5,FNE_6,FNE_7,FNE_8,Theism1,Theism2_1,Theism2_2,Theism2_3,Theism2_4,note,Random,Google,Fabricate,Zipcode,Comments,Length
R_1E54MItPF3GU41F,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,884120,2,2,1,1,1, ,1,1,4,0.434,0.434,1.351,1,1,4,0.388,0.388,1.159,1,1,4,0.318,0.318,0.908,1,1,4,0.173,0.173,0.774,1,1,4,0.342,0.342,1.057,1,1,4,0.308,0.308,1.08,1,1,4,0.192,0.192,0.894,1,1,4,0.467,0.467,1.416,1,1,5,0.329,0.329,0.884,1,1,4,0.614,0.614,1.879,1,1,4,0.608,0.608,1.716,1,1,4,0.193,0.193,0.998,1,1,4,0.13,0.13,0.732,1,1,5,0.336,0.336,1.297,1,1,4,1.446,1.446,2.43,1,1,4,0.107,0.107,1.024,1,1,4,0.336,0.336,0.961,1,1,5,0.025,0.025,0.84,1,1,5,0.523,0.523,1.495,1,1,4,0.395,0.395,0.95,1,1,4,0.289,0.289,0.903,1,1,4,0.48,0.48,1.407,1,1,4,0.669,0.669,1.282,1,1,4,0.091,0.091,0.726,1, , , , , , , ,1,3,0.843,0.843,1.931,1,1,1,18,1.358,1.358,4.412,1,5,0.921,0.921,2.231,1,24,0.644,0.644,2.527,1,2,5,4,2,3,25,1,3,1,2, ,3,3,2,2,2,51,2,2,3,4,4,3,5,1,3,3,1,3,3,3,4,4,4,4,3,4, , , ,1,1,2,2,2,60657,thanks,10 minutes
R_2TXzx43SzRw2kxn,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,8074,2,1,2,1,1, ,1,1,2,2.512,2.512,3.474,1,1,2,2.994,2.994,3.81,1,1,1,1.212,2.956,3.948,2,1,1,2.469,2.469,3.567,1,1,1,3.994,4.636,5.659,2,1,1,4.065,4.065,5.472,1,1,6,2.895,3.859,4.996,3,1,5,2.182,2.182,3.618,1,1,2,2.482,3.365,4.557,2,1,2,3.011,3.011,3.787,1,1,1,5.421,5.421,6.466,1,1,1,2.758,2.758,4.227,1,1,1,5.02,5.02,5.995,1,1,2,3.461,3.461,4.377,1,1,1,1.663,1.663,2.43,1,1,2,2.521,2.521,3.873,1,1,1,2.841,5.747,7.207,4,1,5,2.293,2.967,3.361,2,1,6,3.55,3.55,4.413,1,1,5,3.535,3.535,4.387,1,1,4,3.088,3.088,3.752,1,1,2,5.212,6.442,6.874,3,1,5,2.911,2.911,3.554,1,1,4,2.19,2.19,2.931,1, ,1,1,7.75,7.75,8.635,1, , , , , , ,1,1,4,2.222,2.222,4.689,1,10,0.975,1.603,3.432,2,39,0.809,0.809,2.96,1,2nd,8,emily,0,3,21,2,3,1,1, ,1,3,1,1,1,58,2,2,3,2,3,1,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1, , , ,1,2,2,1,77095, ,5 min
R_3dMLY11UKgY3w3Q,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,643127,2,2,2,1,1, ,1,1,1,0.39,0.39,1.353,1,1,1,1.992,2.744,3.708,2,1,1,1.329,1.329,2.601,1,1,1,0.173,0.173,1.111,1,1,1,0.275,0.275,5.334,1,1,1,0.199,0.199,4.113,1,1,1,1.023,1.551,2.706,2,1,1,0.505,0.505,1.334,1,1,1,4.016,4.016,5.394,1,1,1,0.485,0.485,4.321,1,1,1,1.742,5.854,6.738,4,1,1,0.136,0.136,0.899,1,1,1,0.156,0.156,1.015,1,1,1,0.198,1.318,1.841,3,1,1,0.229,0.989,1.297,2,1,1,0,0,0.555,0,1,1,0.654,1.55,2.466,2,1,1,1.665,1.665,2.532,1,1,1,1.207,1.815,3.546,2,1,1,0,0,0.867,0,1,1,0.641,1.105,1.909,2,1,1,0.4,0.4,5.378,1,1,1,0.376,0.376,1.821,1,1,1,1.011,1.011,2.288,1, , , , , , , ,1,3,4.711,4.711,5.29,1,1,1,8,0.923,4.322,9.749,2,10,7.052,12.732,18.182,3,39,11.283,17.179,18.349,3,1st,8,Emily,27,3,30,1,5,1,1, ,1,1,1,1,1,86,2,1,5,3,1,1,2,2,1,1,1,3,2,2,2,2,2,2,2,3, ,1,1, ,1,2,2,3,60611,No comments,8 minutes
R_phfXFqX1Tgci1Rn,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,133277,2,2,1,1,1, ,1,1,1,2.719,3.792,4.206,2,1,2,3.896,3.896,5.04,1,1,1,2.715,3.839,4.322,2,1,2,4.153,4.153,5.717,1,1,1,3.188,3.188,3.969,1,1,2,3.761,4.592,6.231,2,1,5,3.504,5.772,6.498,3,1,2,3.483,5.023,5.679,3,1,1,3.572,5.315,6.62,3,1,4,2.697,5.027,6.24,3,1,5,3.319,3.907,4.653,2,1,2,4.808,7.696,8.411,7,1,1,4.083,4.083,5.356,1,1,1,2.793,2.793,4.185,1,1,2,3.508,4.126,5.332,2,1,1,2.359,2.359,3.723,1,1,2,3.385,4.013,5.299,2,1,1,1.846,1.846,2.926,1,1,4,5.557,6.833,7.296,3,1,5,3.55,3.55,4.489,1,1,4,3.97,5.033,5.506,3,1,4,3.16,3.16,3.928,1,1,5,4.141,4.141,5.16,1,1,1,2.493,2.493,3.746,1, , , , , , , ,1,3,11.411,11.411,12.239,1,1,1,4,1.414,1.414,7.637,1,50,6.581,6.581,7.617,1,39,5.231,5.231,7.253,1,2nd,8,Emily,27,1,23,1,5,1, , ,1,2,1,1,1,72,2,1,4,4,4,2,5,1,2,3,1,2,2,2,2,3,2,4,4,4,1,1,1,1,1,2,2,1,41017,No,8 minutes
R_12DxKuKzZQNJzoE,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,561144,1,2,1,1,1, ,1,1,1,0.994,0.994,1.625,1,1,2,0.945,0.945,1.684,1,1,3,0.91,2.479,3.758,2,1,1,1.369,1.693,2.67,2,1,1,1.308,1.308,2.056,1,1,2,2.124,2.124,3.477,1,1,2,1.329,2.198,2.585,2,1,3,2.783,2.783,4.943,1,1,1,2.599,2.599,3.601,1,1,2,1.681,3.31,5.417,2,1,3,3.203,3.203,4.096,1,1,1,1.951,1.951,2.607,1,1,1,1.193,1.193,2.024,1,1,1,1.152,2.506,3.169,2,1,1,1.509,1.509,2.149,1,1,2,1.151,1.151,1.822,1,1,1,0.963,1.952,2.216,3,1,2,2.387,3.316,4.232,4,1,1,1.513,1.513,2.344,1,1,2,3.84,3.84,4.578,1,1,3,1.916,3.584,4.386,2,1,1,0.788,0.788,2.127,1,1,1,1.536,2.983,3.251,3,1,1,1.295,1.295,1.942,1,1, , , , , , ,1,2,4.799,4.799,5.725,1, ,1,4,1.452,1.452,10.976,1,10,3.086,3.086,7.378,1,39,0.974,1.299,8.597,2,2,15,Emily,82,3,26,2,6,1,3, ,2,2,1,1,1,84,2,2,2,2,3,2,3,2,2,3,1,2,2,3,2,2,2,3,2,4, , , ,1,1,2,2,2,91306, ,15 min
R_1i5mkXqoTGmWLas,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,641710,2,1,1,1,1, ,1,1,1,0,0,2.523,0,1,1,0,0,1.028,0,1,1,0,0,1.63,0,1,1,0,0,2.449,0,1,1,0,0,1.694,0,1,1,0,0,1.989,0,1,1,0,0,1.864,0,1,1,0,0,1.005,0,1,1,0,0,1.538,0,1,1,0,0,1.804,0,1,1,0,0,1.734,0,1,1,0,0,1.606,0,1,1,0,0,1.608,0,1,1,0,0,1.432,0,1,1,0,0,3.018,0,1,1,0,0,1.122,0,1,1,0,0,1.398,0,1,1,0,0,1.93,0,1,1,0,0,1.928,0,1,1,0,0,1.159,0,1,1,0,0,1.671,0,1,1,0,0,2.751,0,1,1,0,0,1.056,0,1,1,0,0,1.49,0, ,1,1,0,0,4.844,0, , , , , , ,1,1,8,0,0,3.045,0,50,0,0,2.146,0,39,0,0,2.741,0,first,7,June,27,2,20,1,3,1,3, ,3,3,1,1,1,27,2,2,1,3,4,1,5,2,5,2,1,5,5,5,5,5,5,5,5,1,1, , , ,1,2,2,1,65804,"I hope it doesn't look bad to you that I wouldn't share any of those, I promise I put effort into this. I read the title and accompanying text, they just all looked really fake.",5 minutes
R_2v1Sy1bEXru8r54,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,339453,2,2,2,1,1, ,1,1,1,4.137,4.137,5.528,1,1,6,2.688,2.688,3.697,1,1,6,2.032,2.933,3.768,2,1,6,6.489,6.489,7.591,1,1,6,3.311,3.311,4.21,1,1,6,5.859,6.647,7.83,2,1,1,3.56,3.56,4.955,1,1,1,4.324,4.324,5.23,1,1,1,3.635,3.635,4.579,1,1,2,5.712,5.712,6.708,1,1,5,3.643,3.643,4.576,1,1,2,3.647,3.647,4.739,1,1,6,4.183,5.922,6.892,3,1,6,3.169,3.169,4.185,1,1,6,2.251,2.251,3.083,1,1,5,2.74,2.74,3.448,1,1,6,2.761,2.761,3.61,1,1,6,2.174,2.48,3.078,2,1,1,4.474,4.474,5.39,1,1,1,2.983,3.988,5.25,3,1,4,5.046,5.392,6.306,2,1,3,8.527,8.527,9.53,1,1,1,3.299,4.515,5.783,3,1,1,3.284,3.284,4.592,1, , , , , , , ,1,1,8.434,9.256,10,2,1,1,8,1.38,1.38,7.014,1,10,1.114,1.114,10.521,1,39,1.16,1.16,17.475,1,first,8,Emily,27',3,27,1,5,1,2, ,4,4,2,2,2,50,2,2,2,2,2,2,2,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,2,3,30022, ,10 minutes
R_1FePso9J2IsTwOn,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,51635,2,1,2,1,1, ,1,1,6,3.573,3.573,4.346,1,1,6,4.272,4.704,6.184,2,1,6,2.559,2.559,3.167,1,1,6,6.158,6.558,7.085,2,1,6,4.78,4.78,6.529,1,1,6,3.635,3.635,7.58,1,1,6,5.488,6.018,7.438,2,1,6,8.238,8.638,9.288,2,1,6,4.468,4.468,5.234,1,1,6,4.267,4.267,5.097,1,1,6,2.655,2.655,3.368,1,1,6,3.299,3.299,4.174,1,1,6,4.426,4.426,5.668,1,1,6,3.735,4.455,5.273,2,1,6,3.189,3.189,3.862,1,1,4,2.822,2.822,3.927,1,1,6,3.439,3.919,4.47,2,1,6,3.499,4.819,5.125,4,1,6,2.908,2.908,4.424,1,1,6,1.443,2.309,3.644,2,1,6,1.309,1.309,2.85,1,1,6,4.101,5.11,5.723,2,1,6,4.522,4.987,5.574,2,1,4,5.867,5.867,6.86,1, ,1,4,25.42,25.42,47.284,1, , , , , , ,1,1,8,1.734,1.734,10.124,1,50,1.558,1.558,21.809,1,20,14.362,14.362,17.161,1,2,8,Emily,0,1,29,2,3,1,1, ,3,3,1,1,1,50,2,2,3,3,3,3,5,1,3,3,1,5,5,5,5,5,5,5,3,1,1, ,1, ,1,2,2,3,48436,No,8 minutes
R_D2eoBPS9KqJ9hMR,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,605105,2,2,1,1,1, ,1,1,3,6.736,6.736,7.95,1,1,3,4.296,5.117,6.781,2,1,2,2.452,2.452,3.44,1,1,2,7.992,7.992,9.297,1,1,2,4.34,6.847,8.028,3,1,1,14.596,14.596,16.283,1,1,1,3.825,3.825,5.478,1,1,1,7.225,7.225,8.686,1,1,1,5.689,6.205,7.171,2,1,1,4.743,4.743,6.138,1,1,1,4.816,4.816,7.92,1,1,2,4.238,4.238,5.431,1,1,1,5.704,5.704,7.357,1,1,3,5.424,5.424,6.583,1,1,4,3.608,3.608,4.993,1,1,2,4.251,4.251,5.275,1,1,3,5.433,5.433,6.658,1,1,3,2.436,3.269,4.776,2,1,2,3.757,3.757,5.194,1,1,3,5.372,5.372,6.87,1,1,4,6.684,6.684,9.239,1,1,1,6.107,7.39,9.144,2,1,2,7.278,7.278,8.176,1,1,2,3.483,3.483,6.271,1, , , , , , , ,1,3,10.274,10.274,11.749,1,1,1,8,9.161,9.161,18.916,1,10,2.836,2.836,26.64,1,20,7.335,7.335,10.689,1,first,7,June,9,2,24,1,5,1,3, ,2,4,5,1,2,69,2,2,3,3,2,2,2,2,4,4,1,2,1,2,1,2,1,1,1,1,1, , , ,1,2,2,1,37743,No,10-15 mins.
R_vOkyhLmAhTm4O41,Default Response Set,Anonymous, , ,0,11/28/2017,11/28/2017,1,486001,1,1,2,1,1, ,1,1,1,11.383,13.044,14.185,2,1,3,8.01,8.01,9.143,1,1,2,2.299,4.013,4.889,3,1,1,4.1,7.249,8.234,3,1,3,4.021,5.139,6.371,2,1,1,3.504,3.822,5.418,2,1,3,4.475,6.228,7.244,2,1,6,3.693,3.693,4.305,1,1,4,4.159,4.159,5.227,1,1,1,6.762,6.762,7.987,1,1,3,6.975,6.975,8.225,1,1,6,4.061,7.878,9.025,4,1,2,3.267,3.267,5.027,1,1,3,11.996,14.481,15.007,3,1,3,2.678,3.809,4.576,2,1,3,3.963,3.963,5.274,1,1,1,3.095,4.017,4.963,3,1,3,2.507,2.507,3.49,1,1,3,4.829,4.829,5.76,1,1,1,3.15,3.646,4.443,2,1,3,2.947,2.947,3.916,1,1,3,5.582,7.829,8.314,3,1,3,3.271,3.271,4.714,1,1,3,2.612,3.714,3.984,2,1,1,2,10.908,10.908,12.359,1, , , , , , , ,1,8,1.428,62.231,64.899,4,50,5.061,7.72,7.991,2,20,6.714,6.714,9.606,1,1st,8,June,27,1,26,2,2,1,1, ,2,2,2,2,1,69,2,2,3,2,2,2,5,1,5,1,1,2,2,2,2,2,2,2,2,4, ,1, , ,1,2,2,1,12839,no,12
