ResponseID,ResponseSet,Name,ExternalDataReference,Email,Status,StartDate,EndDate,Finished,age,gender,hhi,ethnicity,hispanic,education,political_party,region,confirmCode,Condition,PKOrder,Endorse,RealFake,Consent,FB,Term,Funny,Fake1,Fake1_Funny,Fake1_RT_1,Fake1_RT_2,Fake1_RT_3,Fake1_RT_4,Fake2,Fake2_Funny,Fake2_RT_1,Fake2_RT_2,Fake2_RT_3,Fake2_RT_4,Real1,Real1_Funny,Real1_RT_1,Real1_RT_2,Real1_RT_3,Real1_RT_4,Real2,Real2_Funny,Real2_RT_1,Real2_RT_2,Real2_RT_3,Real2_RT_4,Accuracy,Fake1.0,Fake1_2,Fake1_RT_1.0,Fake1_RT_2.0,Fake1_RT_3.0,Fake1_RT_4.0,Fake2.0,Fake2_2,Fake2_RT_1.0,Fake2_RT_2.0,Fake2_RT_3.0,Fake2_RT_4.0,Real1.0,Real1_2,Real1_RT_1.0,Real1_RT_2.0,Real1_RT_3.0,Real1_RT_4.0,Real2.0,Real2_2,Real2_RT_1.0,Real2_RT_2.0,Real2_RT_3.0,Real2_RT_4.0,AccImp,InstAfterAcc,InstNoAcc,Fake1_SM,Fake1_3,Fake1_RT_1.1,Fake1_RT_2.1,Fake1_RT_3.1,Fake1_RT_4.1,Fake2_SM,Fake2_3,Fake2_RT_1.1,Fake2_RT_2.1,Fake2_RT_3.1,Fake2_RT_4.1,Fake3_SM,Fake3_3,Fake3_RT_1,Fake3_RT_2,Fake3_RT_3,Fake3_RT_4,Fake4_SM,Fake4_3,Fake4_RT_1,Fake4_RT_2,Fake4_RT_3,Fake4_RT_4,Fake5_SM,Fake5_3,Fake5_RT_1,Fake5_RT_2,Fake5_RT_3,Fake5_RT_4,Fake6_SM,Fake6_3,Fake6_RT_1,Fake6_RT_2,Fake6_RT_3,Fake6_RT_4,Fake7_SM,Fake7_3,Fake7_RT_1,Fake7_RT_2,Fake7_RT_3,Fake7_RT_4,Fake8_SM,Fake8_3,Fake8_RT_1,Fake8_RT_2,Fake8_RT_3,Fake8_RT_4,Fake9_SM,Fake9_3,Fake9_RT_1,Fake9_RT_2,Fake9_RT_3,Fake9_RT_4,Fake10_SM,Fake10_3,Fake10_RT_1,Fake10_RT_2,Fake10_RT_3,Fake10_RT_4,Real1_SM,Real1_3,Real_RT_1,Real_RT_2,Real_RT_3,Real_RT_4,Real2_SM,Real2_3,Real2_RT_1.1,Real2_RT_2.1,Real2_RT_3.1,Real2_RT_4.1,Real3_SM,Real3_3,Real3_RT_1,Real3_RT_2,Real3_RT_3,Real3_RT_4,Real4_SM,Real4_3,Real4_RT_1,Real4_RT_2,Real4_RT_3,Real4_RT_4,Real5_SM,Real5_3,Real5_RT_1,Real5_RT_2,Real5_RT_3,Real5_RT_4,Real6_SM,Real6_3,Real6_RT_1,Real6_RT_2,Real6_RT_3,Real6_RT_4,Real7_SM,Real7_3,Real7_RT_1,Real7_RT_2,Real7_RT_3,Real7_RT_4,Real8_SM,Real8_3,Real8_RT_1,Real8_RT_2,Real8_RT_3,Real8_RT_4,Real9_SM,Real9_3,Real9_RT_1,Real9_RT_2,Real9_RT_3,Real9_RT_4,Real10_SM,Real10_3,Real10_RT_1,Real10_RT_2,Real10_RT_3,Real10_RT_4,CRTInst,Q214,CRT1_1,CRT1_2,CRT1_3,CRT3_1,CRT3_2,CRT_Est,PK_Inst,PK_1,PK_1_RT_1,PK_1_RT_2,PK_1_RT_3,PK_1_RT_4,PK_2,PK_2_RT_1,PK_2_RT_2,PK_2_RT_3,PK_2_RT_4,PK_3,PK_3_RT_1,PK_3_RT_2,PK_3_RT_3,PK_3_RT_4,PK_4,PK_4_RT_1,PK_4_RT_2,PK_4_RT_3,PK_4_RT_4,PK_5,PK_5_RT_1,PK_5_RT_2,PK_5_RT_3,PK_5_RT_4,PK_Est,note,Random,Google,Age.0,Gender.0,Gender_TEXT,Education.0,Income,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Party,Party_TEXT,DemRep_C,DemRep_Past_1,DemRep_Past_2,DemRep_Past_3,DemRep_Past_4,DemRep_Past_5,DemRep_Past_6,Social_Conserv,Economic_Conserv,POTUS2016,Congress2018,feeling_therm_trump__1,support_trump,vote_trump_2020,SocialMedia_Chk,Facebook_Freq,SharingBelief_others,SharingBelief_self,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,Zipcode,Comments,Length
R_Wptbe4Zvh1N0cTL,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,41,1,1,1,1,2,10,3,769502,4,2,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1,1,2,1.459,2.605,3.149,3,1,3,0.708,3.34,4.234,5,1,1,1.026,4.876,5.502,4,1,3,0.868,2.93,3.401,4,1,5,1.626,3.723,4.446,4,1,4,0.892,2.601,3.542,4,1,2,0.726,1.354,1.937,2,1,3,1.072,4.262,4.957,3,1,3,1.029,1.692,2.549,2,1,2,0.506,1.095,1.6,2,1,2,0.906,2.116,2.731,3,1,2,0.473,0.908,1.694,2,1,2,0.474,1.053,1.751,2,1,1,0.576,1.125,1.797,2,1,1,0.802,0.802,1.571,2,1,2,0.759,3.321,3.983,6,1,2,0.837,2.573,3.182,4,1,2,0.794,1.331,1.984,2,1,1,0.974,1.586,2.2,2,1,1,0.873,1.536,2.197,2,1,1,8,50,40,1,7,5,1,3,1.441,1.441,2.247,1,3,1.894,1.894,2.478,1,4,0.94,0.94,1.758,1,1,0.501,0.501,1.201,1,4,0.473,0.473,1.064,1,4,1,2,1, ,1, ,1,1,1, , , , , , ,2, ,2, ,1, , , , ,2,4,1,3,73,3,2,1,3, ,4,1,1,3,2,3,3,28801, , 
R_2fdrM1c7vAumKFx,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,47,1,1,1,1,2,4,3,726411,1,1,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,1,2,0.506,1.004,1.761,3,1,1,0.543,0.913,1.65,3,1,1,0.155,0.701,1.793,3,1,2,0.502,1.101,2.046,3,1,2,0.541,0.981,1.671,3,1,2,0.819,1.001,1.777,3,1,1,1.201,3.81,4.658,4,1,1,0.818,1.494,2.3,3,1,1,0.134,0.402,1.368,3,1,1,0.172,0.942,1.875,3,1,1,0.616,0.901,1.858,3,1,2,1.019,2.559,3.139,5,1,1,0.279,0.82,1.668,3,1,1,1.304,1.793,2.585,3,1,2,0.812,1.199,2.023,3,1,1,0.853,1.301,2.228,3,1,1,0.759,1.301,2.277,3,1,1,0.7,1.101,2.044,3,1,1,0.555,0.901,1.806,3,1,1,0.609,1.056,1.841,3,1,1,18,50,45,1,13,5,1,3,1.8,1.8,2.549,2,3,0.721,0.731,1.3,2,1,0.574,0.591,1.001,2,5,0.6,1.102,2.64,4,4,0.842,0.859,1.417,2,5,1,2,1,47,1, ,2,1,1, , , , , , ,3, ,4, ,1, , , , ,2,2,2,2,94,6,2,1,5,7, ,2,2,3,3,3,3,33950,No.,5 mins
R_2zSnheJIWVYVZVp,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,67,2,21,1,1,7,1,4,905600, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_Reryr5bC3k6GY0x,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,29,1,1,1,1,2,3,4,536330,2,2,2,1,1,1, ,1, , , , , , ,1,1,3.801,9.323,10.465,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,5,5.116,6.753,8.072,3,1,5,2.088,4.657,5.699,3,1,1,3.074,7.737,8.718,4,1,4,2.494,9.406,10.003,7,1,4,2.315,4.112,5.139,4,1,4,1.889,4.654,5.79,4,1,2,3.261,6.225,7.286,4,1,1,1.844,5.579,6.637,4,1,5,2.377,4.964,6.092,4,1,1,2.328,3.761,4.7,3,1,1,4.056,6.686,7.559,4,1,1,1.95,3.28,5.441,3,1,4,2.92,4.222,5.15,3,1,5,2.853,4.429,6.063,3,1,5,2.167,3.65,5.564,3,1,2,2.268,6.915,7.821,5,1,2,5.016,14.845,15.755,7,1,4,1.99,6.087,7.249,5,1,3,1.92,3.801,5.35,4,1,2,4.003,6.915,7.851,5,1,1,8,50,8,1,7,2,1,2,2.2,5.133,5.737,4,3,2.764,2.764,6.198,1,2,3.825,3.825,4.71,1,1,6.198,7.071,7.653,2,1,3.841,6.115,6.801,2,0,1,2,2,29,1, ,3,1,1, , , , , , ,3, ,3, , ,1, , , ,3,3,2,6,100,7,7,2,2, ,7,2,2,2,2,4,3,92008, ,12
R_1CsicAvl7RYOBkf,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,41,1,15,1,1,6,2,4,974624, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3GBbLyvbuJDQqQQ,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,43,1,9,1,1,4,5,3,613956,4,1,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,1,1,1,3.628,7.34,7.965,3,1,3,4.841,8.699,9.259,5,1,1,7.064,8.713,9.399,4,1,1,3.293,4.156,4.81,3,1,1,3.7,5.025,5.601,3,1,1,3.1,5.145,5.5,4,1,1,5.832,9.038,9.562,3,1,1,4.607,5.543,6.149,3,1,1,2.017,2.813,3.534,3,1,2,3.884,5.399,5.913,3,1,2,4.215,7.438,7.972,6,1,4,4.362,8.34,8.801,8,1,6,4.116,5.464,6.273,3,1,5,3.487,6.239,6.671,5,1,6,3.273,4.039,4.537,2,1,1,4.228,7.351,7.928,5,1,2,4.021,5.422,5.9,3,1,4,4.165,6.031,6.624,4,1,6,2.635,4.037,4.465,3,1,4,4.082,5.6,6.333,3,1,1,8,10,20,2,8,4,1,3,4.119,4.119,4.687,1,1,2.558,2.558,2.927,1,1,5.047,5.047,5.401,1,1,4.598,4.598,5.291,1,1,5.146,5.146,5.527,1,4,1,2,2,43,1, ,4,6,1, , , , , , ,3, ,4, , , ,1, , ,2,4,2,2,78,6,5,1,5,6, ,1,2,2,4,3,1,34698,Nothing particular,10
R_12hHxKzuS45zguR,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,42,1,8,1,1,2,4,3,688507,2,2,2,1,1,1, ,1,1,2,9.242,14.073,14.8,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, ,1,6,9.668,10.959,12.887,3,1,6,2.67,3.539,4.211,2,1,5,3.422,4.863,5.485,3,1,6,5.054,12.357,12.956,6,1,6,5.417,6.032,6.601,2,1,6,7.114,8.43,9.065,3,1,6,5.706,7.237,7.932,3,1,4,3.492,5.411,6.016,3,1,6,3.454,5.259,5.988,3,1,6,7.576,9.229,11.071,3,1,5,5.058,6.608,7.3,3,1,5,3.471,6.446,7.069,4,1,6,29.053,30.388,31.128,3,1,6,4.016,4.883,6.727,2,1,5,3.132,4.165,4.874,2,1,6,3.896,4.999,5.724,2,1,6,5.247,6.092,6.602,2,1,3,2.956,4.059,4.852,3,1,6,1.167,2.517,3.183,3,1,6,3.811,4.714,5.381,2,1,1,8,50,20,1,7,5,1,3,4.004,4.004,4.739,1,3,3.887,3.887,5.857,1,3,7.886,9.522,10.109,2,1,3.813,3.813,4.846,1,4,5.055,5.055,5.913,1,1,1,2,2,42,1, ,3,5,1, , , , , , ,2, ,6, , , , , ,1,3,3,2,2,1,1,1,1,5, ,7,1,1,5,5,5,4,75602,Great survey,15 mins.
R_CkStbgsHxYPS4vf,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,42,1,12,1,1,4,3,3,864500,3,2,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1,4,11.38,28.106,28.768,5,6,1, ,1,1,6.041,10.629,11.401,4,1,6,1.115,4.848,5.462,6,1,1,8.388,20.633,32.842,7,1,6,6.246,7.709,8.433,3,1,3,0.887,2.823,3.434,4,1,6,3.474,5.083,5.6,3,1,5,0.965,2.69,3.265,3,1,6,3.012,5.37,6.001,3,1,6,1.982,4.811,5.495,3,1,6,2.321,3.628,5.643,3,1,1,1.185,3.484,4.187,4,1,5,1.588,3.847,4.472,4,1,6,0.819,1.921,2.465,3,1,6,2.149,4.705,5.597,4,1,6,32.115,34.581,35.163,4,1,6,4.384,5.12,5.721,2,1,6,3.875,5.071,6.867,3,1,6,4.08,15.423,16.07,4,1,6,7.315,8.266,8.941,2,1,6,5.256,9.498,10.286,7,1,1,8,50,20,1,8,4,1,3,4.294,5.8,7.447,3, ,0,0,10.007,0,1,3.662,6.019,10.057,3,1,3.347,3.347,10.107,1,5,4.413,4.413,7.439,1,3,1,2,2,42,1, ,4,7,1, , , , , , ,3, ,3, , ,1, , , ,2,3,1,1,0,1,1,1,5,5, ,2,2,3,4,4,4,30310,No,15
R_3guJPhHMmOhwzzb,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,37,1,19,1,1,6,3,4,854094,2,2,1,1,1,1, ,1,1,4,6.608,10.857,11.466,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, ,1,2,4.739,5.822,6.62,3,1,2,3.242,4.447,5.182,3,1,2,2.777,7.273,8.005,4,1,2,4.669,5.518,6.241,2,1,2,5.826,6.321,10.524,2,1,2,3.2,3.782,4.418,2,1,2,4.83,6.577,7.436,3,1,2,3.032,3.52,4.155,2,1,2,6.641,7.172,7.84,2,1,2,3.299,4.372,4.398,3,1,2,2.906,3.597,4.244,2,1,2,3.547,5.21,5.873,3,1,2,2.468,3.543,4.283,3,1,2,2.045,2.633,3.32,2,1,2,2.417,2.964,3.63,2,1,2,3.9,5.223,5.914,3,1,2,7.9,9.873,10.492,3,1,2,4.738,10.512,11.088,4,1,2,4.252,4.742,5.46,2,1,2,1.636,3.055,3.727,3,1,1,4,10,25,1,7,4,1,3,4.406,4.406,5.216,1,1,4.11,4.11,5.343,1,1,3.387,3.387,4.196,1,1,8.441,8.441,10.111,1, ,0,0,10.109,0,3,1,2,2,37,1, ,5,11,1, , , , , , ,3, ,3, ,1, , , , ,2,4,1,1,23,2,1,2,4,3, ,2,2,3,3,3,3,98208,Nope,10 minutes
R_1dzyG0J2Sx5X0fj,Default Response Set,Anonymous, , ,0,4/30/2019,4/30/2019,1,30,1,1,1,1,6,9,3,671488,3,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,16.069,21.065,21.428,4, , , , , , , , , , , , , , , , , , ,5,1, ,1,2,0.875,2.607,3.132,4,1,3,0.775,2.359,2.897,3,1,3,0.735,2.433,2.954,4,1,4,1.608,5.802,6.393,4,1,3,0.148,1.962,2.522,4,1,2,0.725,1.727,2.263,3,1,2,0.764,1.749,2.225,3,1,1,0.678,1.703,2,3,1,2,1.747,2.749,3.301,3,1,3,1.739,3.124,3.73,3,1,2,0.75,1.865,2.389,3,1,2,1.029,4.266,4.636,5,1,1,0.761,1.296,1.9,2,1,2,0.788,2.262,2.764,4,1,4,3.035,4.937,5.574,3,1,1,0.601,1.834,2.195,3,1,3,0.744,2.111,2.674,4,1,4,3.615,4.865,5.465,3,1,1,0.133,0.621,1.204,2,1,2,0.692,2.269,2.88,4,1,1,4,50,20,1,7,3,1,2,6.897,6.897,7.51,1,3,1.858,1.858,2.387,1,2,1.645,1.645,2.131,1,3,1.222,1.222,1.784,1,3,0.991,1.45,2.827,2,2,1,2,2,30,1, ,4,3,1, , , , , , ,2, ,4, , , ,1, , ,3,3,2,2,66,7,5,2,4,6, ,2,1,1,2,2,2,29661,No,10 mins
